nconst,primaryname,birthyear,deathyear,primaryprofession,knownfortitles
nm0002752,Tim Clague,1973,\N,"camera_department,director,producer","tt1536519,tt3800520,tt8344316,tt9047024"
nm0002763,James S. Fowler,1971,\N,"assistant_director,director,cinematographer","tt0262985,tt0207569,tt0207347,tt0213849"
nm0002764,Tina Pehme,\N,\N,"producer,miscellaneous,production_manager","tt6054710,tt1014774,tt0213985,tt5734214"
nm0002772,Jay Jennings,1965,\N,"producer,director,writer","tt0914842,tt1861344,tt0213061,tt0851215"
nm0002775,Brendan Kailer Lieb,1967,\N,actor,"tt0114910,tt0119672,tt0195108"
nm0002791,Craig Dabrowski,1974,\N,"editorial_department,producer,actor","tt0155197,tt0393567,tt0413573,tt1362264"
nm0002800,Scott Levy,1971,\N,"actor,producer,sound_department","tt1323595,tt0119567,tt0401462,tt0120338"
nm0002801,Ashley Edner,1990,\N,"actress,miscellaneous","tt0315983,tt0299591,tt2660888,tt0411007"
nm0002807,Ogi Ogas,\N,\N,"director,writer,editor","tt0211180,tt0214631,tt0485072,tt0214610"
nm0002814,Christopher Leone,\N,\N,"director,writer,visual_effects","tt3479316,tt0830361"
nm0002822,Mark Hosack,1975,\N,"producer,writer,editor","tt0493165,tt0230540,tt0343818,tt8964206"
nm0002837,Stefan Brönneke,1964,\N,"director,actor,writer","tt0819958,tt0463847,tt0489298,tt0213782"
nm0002840,Reuben Gonzalez,\N,\N,"writer,actor,director","tt0363269,tt1935277,tt0199744,tt0128414"
nm0002844,Donna Wheeler,\N,\N,"editorial_department,producer,director","tt9144872,tt0204250,tt2338159,tt2338357"
nm0002852,Bernhard Lebourne,\N,\N,"editor,miscellaneous,producer","tt5227746,tt4230078,tt5327922,tt3487654"
nm0002856,Ken Tipton,1952,\N,"actor,director,writer","tt0415838,tt0111653,tt3431592,tt0211638"
nm0002882,Charles Libin,\N,\N,"camera_department,cinematographer,director","tt7861644,tt6144092,tt9222438,tt3180668"
nm0002902,Andy Thompson,\N,\N,"actor,producer,writer","tt3691740,tt5511512,tt7608248,tt7826376"
nm0002904,Joseph P. Lucky,1954,\N,"production_designer,art_director,art_department","tt0439100,tt0103064,tt0112462,tt6226232"
nm0002909,Rachela Williams,1967,2001,"actress,writer,producer","tt0196768,tt0197104,tt0216926,tt0271649"
nm0002919,Zachary Gamburg,1975,\N,"miscellaneous,director,actor","tt0204076,tt0765725,tt0171580,tt1058042"
nm0002921,Tiffany Hillkurtz,1969,\N,"editorial_department,editor,miscellaneous","tt5113040,tt1911658,tt0375568,tt6718170"
nm0002929,Mitch Levine,\N,\N,"director,actor,writer","tt12636394,tt7477946,tt0201919,tt8224738"
nm0002941,Kevin Loader,1956,\N,"producer,director,assistant_director","tt1266029,tt1226774,tt4686844,tt0488604"
nm0002942,Verton R. Banks,\N,\N,"actor,producer","tt7661046,tt2342652,tt13207736,tt7235466"
nm0002966,Jonathan Figg,1975,\N,"writer,producer,director","tt6467466,tt0275236,tt0212829,tt3489302"
nm0002982,Victoria Arch,\N,\N,"writer,director,producer","tt3744264,tt0338096,tt0426406,tt0361912"
nm0002990,Dianah Wynter,1969,\N,"director,miscellaneous,actress","tt1267434,tt0208228,tt0200353,tt0248655"
nm0003000,Alon Bar,1966,\N,"writer,producer,assistant_director","tt0221184,tt1951234,tt0219467,tt0218190"
nm0003023,Jesse Ray Boehm,\N,\N,"miscellaneous,writer,director","tt0160184,tt0186566,tt0146675,tt0196573"
nm0003029,Isabelle Broué,1968,\N,"director,script_department,writer","tt0212444,tt0378898,tt5285048,tt0212058"
nm0003041,John Johns,1963,\N,"camera_department,visual_effects,miscellaneous","tt0430357,tt0390022,tt0882977,tt0183523"
nm0003082,Bailey Chase,1972,\N,actor,"tt0830900,tt2975590,tt5345490,tt1836037"
nm0003095,Michael Yaroshevsky,1969,\N,"director,cinematographer,producer","tt4128118,tt0330765,tt6969764,tt1322293"
nm0003096,Jennifer Harris,1992,\N,actress,"tt0211423,tt0220114,tt0377263"
nm0003098,Susanne Schiebler,1979,\N,"editor,visual_effects,editorial_department","tt3543084,tt17067140,tt0119849,tt0297325"
nm0003100,Guy Bodart,\N,\N,"director,producer,writer","tt0219641,tt0206555,tt3228450,tt0220139"
nm0003101,Tom Brown,\N,\N,"production_designer,art_director,art_department","tt0120815,tt1634106,tt1160419,tt1340800"
nm0003103,Nicolas Debot,1973,\N,"director,producer,actor","tt15290430,tt3708326,tt26627341,tt26627462"
nm0003116,Anthony C. Ferrante,\N,\N,"director,writer,producer","tt14292086,tt0385560,tt2724064,tt26736344"
nm0003127,Ken Pisani,\N,\N,"producer,writer,director","tt4789496,tt3377500,tt1552113,tt3973866"
nm0003129,John J. Condne III,\N,\N,"producer,actor,editorial_department","tt1577103,tt1285260,tt1377603,tt0270349"
nm0003142,Peter Menne,1960,\N,"production_designer,art_department,art_director","tt1234554,tt0424992,tt9076154,tt0342272"
nm0003157,E Kurt Zimmerman,1977,\N,"director,writer,producer","tt0216227,tt0213095,tt0216581,tt0212962"
nm0003161,Sara Barrett,1973,\N,"actress,producer,soundtrack","tt0094574,tt0816399,tt0413573,tt0169299"
nm0003169,Jordan Foster,1964,\N,actor,"tt0204582,tt0112628,tt0057731,tt0123238"
nm0003202,David G. Russell,\N,\N,"music_department,composer,actor","tt0458290,tt12708542,tt2381111,tt9419884"
nm0003221,Georg Söring,1970,\N,"editor,director,editorial_department","tt0224051,tt0223613,tt0222490,tt0496325"
nm0003253,Alexandra Hoesdorff,1967,\N,"producer,production_manager,actress","tt2387692,tt0207161,tt7279868,tt7284066"
nm0003254,Neil Lundell,\N,\N,"production_manager,producer,actor","tt1225901,tt0133302,tt0115289,tt0412253"
nm0003260,Sean Cooney,\N,\N,"production_manager,editorial_department,assistant_director","tt1226753,tt0780511,tt0436697,tt3731562"
nm0003261,Johnny Kim,1968,\N,"actor,producer,miscellaneous","tt0114069,tt0116629,tt0133152,tt0222790"
nm0003265,Sergio Myers,1969,\N,"producer,director,writer","tt0223439,tt0312207,tt2332857,tt2373148"
nm0003284,Jim Fleigner,1967,\N,"director,writer,editor","tt0225812,tt0419099,tt0286617"
nm0003288,Ernesto McCausland,1961,2012,"director,writer,producer","tt0312542,tt1418902,tt0213324,tt1986831"
nm0003347,Stéphane Pereira,\N,\N,"editor,editorial_department,music_department","tt7552686,tt0162555,tt13136332,tt0250223"
nm0003383,John Serpe,1971,\N,"writer,director,actor","tt9629470,tt4910718,tt0427449,tt0229400"
nm0003412,Declan Recks,\N,\N,"director,producer,actor","tt0477939,tt4637240,tt10653008,tt1020950"
nm0003431,Dan Mossberg,\N,\N,"sound_department,composer","tt0221823,tt0221197,tt0220034,tt0120191"
nm0003469,Michael Ferris Gibson,\N,\N,"producer,director,writer","tt0202695,tt0443527,tt1174042,tt0377029"
nm0003477,Michael Lennick,1952,2014,"writer,director,visual_effects","tt0086541,tt0085407,tt1474476,tt1391814"
nm0003482,Nash Edgerton,1973,\N,"stunts,actor,director","tt1029161,tt7472896,tt3721964,tt1085507"
nm0003484,Tony Grocki,1958,\N,"editor,editorial_department,producer","tt0100150,tt0106519,tt0107034,tt4578000"
nm0003485,Dan Hubp,\N,\N,"art_department,editor,editorial_department","tt1105290,tt1853559,tt0477435,tt0227842"
nm0003489,Billy Martin,\N,\N,"composer,music_department,soundtrack","tt0389790,tt2315596,tt0168786,tt0330793"
nm0003521,Greg Tennant,\N,\N,"editorial_department,camera_department,editor","tt0112867,tt0220394,tt0274812,tt1002965"
nm0003524,Eric Neal Young,\N,\N,"producer,director,editor","tt0222849,tt11395060,tt14361330,tt16431882"
nm0003529,Dan Harris,1979,\N,"writer,director,producer","tt0373024,tt4843344,tt0290334,tt0348150"
nm0003533,Shawn Paper,\N,\N,"editor,producer,editorial_department","tt1800246,tt11859542,tt12809988,tt1759761"
nm0003576,Sebastian Henckel-Donnersmarck,1972,\N,"director,writer,producer","tt0308972,tt0233589,tt0228186,tt0491792"
nm0003577,Kevin R. Hershberger,1973,\N,"director,costume_designer,producer","tt2477218,tt4327600,tt4465100,tt0235048"
nm0003578,Ray Nicholas Hosack,\N,\N,"actor,producer,writer","tt0230540,tt1318527,tt0212991,tt1326272"
nm0003596,Barry Papick,\N,\N,"actor,miscellaneous,director","tt0258153,tt1231287,tt0181536,tt0119951"
nm0003611,Uwe Greiner,1969,\N,"camera_department,transportation_department,director","tt1985443,tt9203694,tt6506264,tt8206398"
nm0003630,Ryan Glorioso,1973,\N,"casting_department,casting_director,actor","tt14261112,tt16302202,tt15428778,tt13984270"
nm0003640,Scott Arundale,\N,\N,"editorial_department,editor,producer","tt0090357,tt0095956,tt1461242,tt0236261"
nm0003669,James M. LeGoy,\N,\N,"cinematographer,producer,camera_department","tt0308055,tt0257076,tt1776884,tt0308499"
nm0003696,Harold Harris,\N,\N,"director,miscellaneous,editorial_department","tt5607658,tt3533604,tt0305011,tt1870073"
nm0003697,Florian Henckel von Donnersmarck,1973,\N,"director,writer,producer","tt0233589,tt0405094,tt5311542,tt1243957"
nm0003700,Dean Rusu,\N,\N,"director,writer,cinematographer","tt0225828,tt2120045"
nm0003768,Efram Potelle,\N,\N,"visual_effects,animation_department,director","tt0451279,tt0213994,tt0329676,tt1020543"
nm0003835,Heather Waters,\N,\N,actress,"tt0331634,tt0376606,tt0211955,tt0366620"
nm0003875,Hyatt Bass,1969,\N,"director,writer,camera_department","tt0108358,tt0212719,tt0105417,tt0108223"
nm0003884,Paulo Machline,1967,\N,"director,producer,writer","tt0207112,tt9125246,tt12567394,tt2041532"
nm0003888,J.A. Steel,1969,\N,"writer,director,producer","tt5372176,tt0221637,tt1194424,tt0860528"
nm0003899,Markham Cook,\N,\N,"director,editor,writer","tt3654312,tt1087817,tt0294683,tt0487002"
nm0003921,Jeff McEvoy,\N,\N,"editor,editorial_department,miscellaneous","tt3531824,tt0335563,tt1189340,tt1496025"
nm0003925,Julianne Buescher,\N,\N,"actress,miscellaneous,soundtrack","tt1408101,tt0452046,tt0800039,tt4651824"
nm0003930,Will Wallace,\N,\N,"actor,producer,director","tt0120863,tt0311850,tt0404826,tt0463934"
nm0003934,David Crowther,1970,\N,"editor,editorial_department,producer","tt0111503,tt0103644,tt0137363,tt0096754"
nm0003962,Mike Rotman,\N,\N,"producer,director,writer","tt2149310,tt0218495,tt2543712,tt1910277"
nm0003966,Charles R. Uy,\N,\N,"producer,assistant_director,director","tt1172509,tt2531318,tt0209471,tt2400997"
nm0003975,Jeff Stephenson,\N,\N,"director,writer,editor","tt2437712,tt0379288,tt1072438,tt1657302"
nm0003991,Beth Colt,\N,\N,"actress,producer,assistant_director","tt0108758,tt0200530,tt0120197,tt0101064"
nm0004040,Michael Condro,\N,\N,"camera_department,visual_effects,cinematographer","tt2253976,tt0117731,tt0120461,tt0096754"
nm0004060,Morgana Rae,\N,\N,actress,"tt0245841,tt0186988,tt0231496,tt0287659"
nm0004082,Geoff Marslett,\N,\N,"actor,producer,director","tt9109086,tt2091343,tt11662660,tt1109488"
nm0004094,Betsy Thomas,1966,\N,"producer,writer,director","tt7768346,tt0496356,tt1850458,tt5462364"
nm0004112,Mark Frost,1968,\N,actor,"tt4348012,tt1250890,tt3636060,tt0223268"
nm0004129,Sheri Bylander,\N,\N,"editor,editorial_department,producer","tt15421858,tt2149175,tt7949218,tt13819960"
nm0004266,Anne Hathaway,1982,\N,"actress,soundtrack,producer","tt1084950,tt1345836,tt1707386,tt0758752"
nm0004273,Joel Kramer,1957,\N,"stunts,assistant_director,actor","tt1856101,tt2820852,tt0079945,tt0093260"
nm0004281,Stephen Butcher,1946,\N,"director,producer,actor","tt0053494,tt0086699,tt1382578,tt0074035"
nm0004293,Matt Bellner,1969,\N,"script_department,actor,assistant_director","tt1548544,tt0108778,tt0058796,tt0118484"
nm0004308,Dirk Ahner,1973,\N,"writer,camera_department,director","tt2171897,tt3072732,tt0222256,tt0221928"
nm0004323,Jean-Luc Dinsdale,1971,\N,"visual_effects,camera_department,cinematographer","tt2193021,tt12263384,tt0457572,tt0118480"
nm0004325,Michiel Snijders,1972,\N,"producer,writer,animation_department","tt0218670,tt4809396,tt0408302,tt0800164"
nm0004338,David Potischman,\N,\N,actor,"tt0167880,tt0194421,tt0205940"
nm0004339,Laura M. Grody,\N,\N,"editorial_department,editor,actress","tt0111693,tt0099180,tt0107302,tt0105226"
nm0004342,Mitchell Rose,\N,\N,"director,editor,producer","tt0467464,tt0467410,tt0304413,tt3223544"
nm0004360,Attila Szalay,1961,\N,"cinematographer,camera_department,director","tt1489428,tt2406376,tt5071412,tt1453159"
nm0004447,Peter Lhotka,1962,\N,"producer,production_manager,actor","tt0121200,tt0112023,tt0862856,tt0486051"
nm0004450,Sebastian DeVicente,\N,\N,actor,"tt0246498,tt0450294,tt0250100,tt0235333"
nm0004456,Clare Kramer,1974,\N,"producer,actress,writer","tt0119360,tt0204946,tt0337953,tt0292644"
nm0004460,Rachel Davey,\N,\N,actress,"tt0118266,tt0120623,tt0112431,tt0120363"
nm0004476,Jennifer Lyne,\N,\N,"location_management,writer,producer","tt10223460,tt1292566,tt4682786,tt0475328"
nm0004519,Neal Acree,1974,\N,"composer,music_department,soundtrack","tt0433664,tt4332152,tt2288037,tt0472399"
nm0004533,Michal Struss,1975,\N,"animation_department,visual_effects,director","tt7662644,tt2251519,tt0207182,tt0206862"
nm0004539,Vanessa Williams,1963,\N,"actress,producer,soundtrack","tt0112086,tt0103919,tt0102526,tt0248655"
nm0004574,Paul Landers,1964,\N,"actor,soundtrack,composer","tt0116922,tt0295701,tt0300140,tt1937390"
nm0004579,Vidyasagar,1963,\N,"composer,soundtrack,actor","tt0375705,tt1740549,tt10579952,tt1034053"
nm0004603,Warren Bennett,1962,\N,"composer,soundtrack,music_department","tt0091853,tt2349144,tt2872718,tt0166458"
nm0004641,Kevin O'Hara,1969,\N,"miscellaneous,actor,writer","tt21243124,tt0292255,tt0106308,tt0104115"
nm0004643,D. Joanne Malo,\N,\N,"assistant_director,miscellaneous,camera_department","tt0273435,tt2226597,tt0165710,tt5719748"
nm0004683,Bry Thomas Sanders,1968,\N,"camera_department,cinematographer,producer","tt13674444,tt2390003,tt14239088,tt10712978"
nm0004718,Desmond Askew,1972,\N,actor,"tt0454841,tt0139239,tt0201391"
nm0004725,Charles Barkley,1963,\N,"actor,producer,writer","tt0124718,tt8009428,tt0102059,tt0117705"
nm0004773,Lisa Brenner,\N,\N,"actress,producer,director","tt7250378,tt17371078,tt1621046,tt0187393"
nm0004835,Sean 'Diddy' Combs,1969,\N,"music_artist,producer,soundtrack","tt1226229,tt0285742,tt0120685,tt0172156"
nm0004854,Billy Ray Cyrus,1961,\N,"actor,soundtrack,writer","tt1273678,tt0493093,tt1114677,tt0166924"
nm0004947,Jennifer Gareis,1970,\N,actress,"tt0212346,tt0265198,tt0216216,tt0119951"
nm0004949,Troy Garity,1973,\N,"actor,producer,miscellaneous","tt3628584,tt1833285,tt0324013,tt2891574"
nm0004973,Amy Grant,1960,\N,"soundtrack,actress,composer","tt0110478,tt0119925,tt0356910,tt0366551"
nm0004988,Colin Hanks,1977,\N,"actor,director,producer","tt0852713,tt0360717,tt0273923,tt0880578"
nm0004993,Desmond Harrington,1976,\N,actor,"tt0295700,tt0773262,tt0242527,tt0288477"
nm0005012,Lauryn Hill,1975,\N,"music_artist,soundtrack,actress","tt0118883,tt8722346,tt0108147"
nm0005020,Josh Hopkins,1970,\N,"actor,soundtrack,director","tt0321021,tt0119173,tt3829920,tt0177971"
nm0005030,Jon Huertas,\N,\N,"actor,producer,director","tt1219024,tt2006120,tt0995832,tt5555260"
nm0005104,Heather Kozar,1976,\N,actress,"tt0227972,tt0327349,tt0442738,tt0206508"
nm0005107,Lenny Kravitz,1964,\N,"soundtrack,actor,composer","tt1392170,tt1327773,tt0929632,tt1951264"
nm0005117,Tina Landon,1963,\N,"miscellaneous,actress,writer","tt0381707,tt0095655"
nm0005122,Ryan Larson,\N,\N,actress,"tt0105701,tt0205610,tt0218625,tt1485105"
nm0005123,Ali Larter,1976,\N,"actress,producer,music_department","tt0250494,tt2592614,tt0195714,tt1198138"
nm0005161,Nick Loeb,1975,\N,"actor,producer,director","tt1259528,tt8639326,tt24806640,tt0263663"
nm0005193,Ricky Martin,1971,\N,"music_artist,soundtrack,actor","tt1322269,tt3469046,tt2788432"
nm0005205,Kimberly McCullough,1978,\N,"actress,director,producer","tt6116060,tt8595140,tt8510382,tt0472954"
nm0005214,Sarah McLachlan,1968,\N,"music_artist,soundtrack,actress","tt0413895,tt0120363"
nm0005219,Mike Medavoy,1941,\N,"producer,actor,executive","tt1130884,tt0947798,tt0482546,tt0443706"
nm0005240,Moby,1965,\N,"soundtrack,composer,music_department","tt1194173,tt0405336,tt1458175,tt0120053"
nm0005313,Bijou Phillips,1980,\N,"actress,soundtrack,costume_department","tt0285175,tt0498353,tt0181875,tt0242193"
nm0005325,Keri Lynn Pratt,1978,\N,actress,"tt0265029,tt1315981,tt0410997,tt0164114"
nm0005350,Simon Rex,1974,\N,"actor,soundtrack,producer","tt0306047,tt0795461,tt13453006,tt0426592"
nm0005354,Busta Rhymes,1972,\N,"music_artist,soundtrack,actor","tt0272207,tt0162650,tt0187738,tt0220506"
nm0005405,Seann William Scott,1976,\N,"actor,producer,soundtrack","tt0163651,tt0377818,tt0328828,tt0252866"
nm0005441,Lindsay Sloane,\N,\N,"actress,soundtrack","tt0815236,tt0314786,tt0204946,tt1386588"
nm0005453,Britney Spears,1981,\N,"music_artist,soundtrack,actress","tt0295178,tt0275022"
nm0005526,Luther Vandross,1951,2005,"music_artist,soundtrack,actor","tt0089218,tt0113845,tt2404463,tt8722346"
nm0005530,Katie Wagner,1964,\N,"actress,miscellaneous","tt0155425,tt8179388,tt10919380,tt0141303"
nm0005555,Anna Wilding,\N,\N,"producer,actress,writer","tt1627932,tt0449570,tt0098911,tt1961313"
nm0005576,Drea de Matteo,1972,\N,"actress,writer,director","tt0244244,tt0141842,tt2402101,tt0398712"
nm0005579,Christy Carlson Romano,1984,\N,"actress,producer,soundtrack","tt0206511,tt0278866,tt0294425"
nm0005582,Tammy Lynn Michaels,1974,\N,actress,"tt0337953,tt0330251,tt0305472,tt0202748"
nm0005615,Urszula Urbaniak,1962,\N,"director,assistant_director,miscellaneous","tt0461867,tt0441074,tt0216295,tt0388626"
nm0005619,Tom Jensen,1960,\N,"camera_department,visual_effects,miscellaneous","tt0097138,tt0098320,tt0113253,tt0103923"
nm0006350,Julia Leigh Miller,\N,\N,actress,"tt0174917,tt0210957"
nm0006439,Erin Daniels,\N,\N,"actress,director,writer","tt1315981,tt1366344,tt0330251,tt0251736"
nm0006450,Jason Sutton,1966,\N,writer,"tt4224588,tt2427220,tt0485556,tt0787985"
nm0006463,Jason Kravits,1967,\N,actor,"tt0327162,tt1126618,tt0230838,tt0118437"
nm0006497,Ellis Dungan,1908,2001,"director,cinematographer,editor","tt0214940,tt0215179,tt0215150,tt0044778"
nm0006558,David Fuhrer,\N,\N,"actor,producer,director","tt0292997,tt0910898,tt0097411,tt2996924"
nm0006593,Diane Cornell,\N,\N,"producer,production_manager,miscellaneous","tt14911828,tt0297884,tt0443448,tt11250198"
nm0006640,Derek Lister,1948,\N,"director,writer,producer","tt3527150,tt7705432,tt4903938,tt3512080"
nm0006641,Joubin Mortazavi,1973,\N,"editor,editorial_department,producer","tt0116361,tt0224451,tt0239195,tt0243327"
nm0006652,Sonya 'Sonny' Tormoen,\N,\N,"casting_department,location_management,miscellaneous","tt0157503,tt0246894,tt0813142,tt1650062"
nm0006678,Amber Phillips,\N,\N,"actress,writer","tt0163651,tt0274205,tt0207604,tt0190540"
nm0006695,Tom Hoffie,\N,\N,"producer,production_manager,miscellaneous","tt10888878,tt2832756,tt0172669,tt1187064"
nm0006710,Vik Sahay,\N,\N,"actor,soundtrack","tt0934814,tt0907674,tt6885114,tt6128254"
nm0006713,Rachael Harris,1968,\N,"actress,camera_department,soundtrack","tt1119646,tt1196141,tt1632701,tt4052886"
nm0006715,Mukesh,1923,1976,"music_artist,music_department,soundtrack","tt0066763,tt0052560,tt1431045,tt0074730"
nm0006720,Monique Edwards,\N,\N,"actress,producer,script_department","tt0460649,tt0106079,tt1285016,tt4925292"
nm0006721,Susan May Pratt,1974,\N,"actress,soundtrack","tt0164114,tt0147800,tt4178092,tt0470055"
nm0006735,Robert Kravitz,\N,\N,producer,"tt3444206,tt0423370,tt9587298,tt0373152"
nm0006755,Scott Chambliss,\N,\N,"production_designer,art_department,art_director","tt0796366,tt3741700,tt3896198,tt1964418"
nm0006757,Thomas Oláh,1966,\N,"costume_designer,actor,costume_department","tt1772264,tt0120802,tt2101473,tt0800241"
nm0006789,Lauren Bailey,\N,\N,actress,"tt0240509,tt0234951,tt0339176,tt0236342"
nm0006850,Shayna Lee,1975,\N,actress,"tt0108763,tt0316394,tt0370194,tt0113094"
nm0006851,Madeleine Blaustein,1960,2008,"actress,writer,soundtrack","tt0235679,tt0168366,tt0210234,tt0190641"
nm0006857,Mariano Nuñez West,\N,\N,"composer,music_department","tt0117069,tt0284935,tt1332675,tt1546005"
nm0006878,Michael B. Silver,1967,\N,"actor,director,writer","tt0250494,tt0106079,tt1319735,tt4124758"
nm0006887,R. Emmett Fitzsimmons,\N,\N,"actor,director,producer","tt1027718,tt0086759,tt3091396,tt3276922"
nm0006891,Michaëla Watteaux,1954,\N,"director,writer,actress","tt3805856,tt0423713,tt0268721,tt0288022"
nm0007044,Nicole Lucas Haimes,\N,\N,"producer,director,writer","tt10181606,tt6628850,tt4819510,tt1656896"
nm0007050,Sergei Davidoff,1960,\N,"producer,director,writer","tt0271217,tt0272584,tt0270452,tt14063560"
nm0007056,Peter L. Stein,\N,\N,"producer,writer,director","tt0272413,tt15527914,tt0221428,tt0200898"
nm0007068,Jorge Simonet,1966,\N,"camera_department,cinematographer,director","tt0244057,tt0272899,tt0455957"
nm0007090,Mark O'Connor,1963,\N,"actor,composer","tt0120316,tt0221691,tt0116330"
nm0007091,Gabe Sachs,\N,\N,"writer,producer,director","tt0411004,tt2477230,tt0193676,tt1196141"
