tconst,titletype,primarytitle,originaltitle,isadult,startyear,endyear,runtimeminutes,genres
tt0023625,movie,Two Against the World,Two Against the World,0,1932,\N,70,"Drama,Music,Mystery"
tt0023627,movie,Two Kinds of Women,Two Kinds of Women,0,1932,\N,75,Drama
tt0023629,movie,Two Seconds,Two Seconds,0,1932,\N,67,"Crime,Drama,Thriller"
tt0023630,movie,Wives Beware,Two White Arms,0,1932,\N,81,Comedy
tt0023631,movie,Two-Fisted Law,Two-Fisted Law,0,1932,\N,64,"Adventure,Drama,Western"
tt0023634,movie,"I Was Born, But...",Otona no miru ehon - Umarete wa mita keredo,0,1932,\N,100,"Comedy,Drama"
tt0023635,movie,Unashamed,Unashamed,0,1932,\N,77,Drama
tt0023636,movie,Uncle Moses,Uncle Moses,0,1932,\N,88,"Drama,Romance"
tt0023637,short,Uncle Tom and Little Eva,Uncle Tom and Little Eva,0,1932,\N,7,"Animation,Short"
tt0023638,movie,Under-Cover Man,Under-Cover Man,0,1932,\N,74,"Crime,Drama,Romance"
tt0023640,movie,The Living Dead,Unheimliche Geschichten,0,1932,\N,89,"Comedy,Horror,Sci-Fi"
tt0023641,movie,Unholy Love,Unholy Love,0,1932,\N,75,Drama
tt0023642,movie,Union Depot,Union Depot,0,1932,\N,67,"Comedy,Drama,Romance"
tt0023645,movie,What Scoundrels Men Are!,"Gli uomini, che mascalzoni...",0,1932,\N,64,"Comedy,Romance"
tt0023646,movie,Uptown New York,Uptown New York,0,1932,\N,80,"Drama,Romance"
tt0023649,movie,Vampyr,Vampyr,0,1932,\N,75,"Fantasy,Horror"
tt0023650,movie,The Vanishing Frontier,The Vanishing Frontier,0,1932,\N,65,"Music,Romance,Western"
tt0023652,movie,Vanity Fair,Vanity Fair,0,1932,\N,78,"Drama,Romance"
tt0023653,movie,Vanity Street,Vanity Street,0,1932,\N,67,"Adventure,Crime,Drama"
tt0023655,movie,Veiled Aristocrats,Veiled Aristocrats,0,1932,\N,48,Drama
tt0023657,movie,Die verkaufte Braut,Die verkaufte Braut,0,1932,\N,77,"Comedy,Music"
tt0023658,movie,Servant's Entrance,Vi som går köksvägen,0,1932,\N,100,Comedy
tt0023659,movie,Virtue,Virtue,0,1932,\N,68,"Crime,Drama,Romance"
tt0023660,short,The Voice of Hollywood No. 13 (Second Series),The Voice of Hollywood No. 13 (Second Series),0,1932,\N,12,"Comedy,Music,Short"
tt0023662,movie,The Return of Nathan Becker,Vozvrashchenie Neytana Bekkera,0,1932,\N,94,Drama
tt0023663,movie,Shame,Vstrechnyy,0,1932,\N,115,Drama
tt0023665,short,"Wait Till the Sun Shines, Nellie","Wait Till the Sun Shines, Nellie",0,1932,\N,8,"Animation,Comedy,Family"
tt0023666,short,Walking the Baby,Walking the Baby,0,1933,\N,10,"Comedy,Short"
tt0023669,short,War Babies,War Babies,0,1932,\N,11,"Comedy,Family,Short"
tt0023670,movie,War Correspondent,War Correspondent,0,1932,\N,76,"Action,Adventure,Romance"
tt0023672,movie,The Washington Masquerade,The Washington Masquerade,0,1932,\N,88,"Drama,Romance"
tt0023673,movie,Washington Merry-Go-Round,Washington Merry-Go-Round,0,1932,\N,79,Drama
tt0023674,movie,The Water Gipsies,The Water Gipsies,0,1932,\N,80,Drama
tt0023675,movie,Wayward,Wayward,0,1932,\N,76,\N
tt0023676,short,The Wayward Canary,The Wayward Canary,0,1932,\N,7,"Animation,Comedy,Family"
tt0023677,movie,Week-End Marriage,Week-End Marriage,0,1932,\N,65,"Comedy,Music,Romance"
tt0023678,movie,Week Ends Only,Week Ends Only,0,1932,\N,70,"Drama,Romance"
tt0023679,movie,Dope,Der weiße Dämon,0,1932,\N,107,Drama
tt0023681,movie,West of Broadway,West of Broadway,0,1931,\N,68,"Drama,Romance,War"
tt0023682,movie,The Western Code,The Western Code,0,1932,\N,58,Western
tt0023684,movie,Westward Passage,Westward Passage,0,1932,\N,73,"Drama,Romance"
tt0023685,movie,The Wet Parade,The Wet Parade,0,1932,\N,118,"Drama,History,Romance"
tt0023686,movie,What Price Hollywood?,What Price Hollywood?,0,1932,\N,88,"Drama,Music,Romance"
tt0023687,short,What Price Taxi,What Price Taxi,0,1932,\N,20,"Comedy,Short"
tt0023688,movie,When a Feller Needs a Friend,When a Feller Needs a Friend,0,1932,\N,74,Drama
tt0023689,short,"When the Red, Red, Robin Comes Bob, Bob Bobbin' Along","When the Red, Red, Robin Comes Bob, Bob Bobbin' Along",0,1932,\N,7,"Animation,Music,Short"
tt0023690,movie,Where Is This Lady?,Where Is This Lady?,0,1932,\N,77,Musical
tt0023691,movie,While Paris Sleeps,While Paris Sleeps,0,1932,\N,67,Drama
tt0023692,movie,Whistlin' Dan,Whistlin' Dan,0,1932,\N,65,Western
tt0023693,movie,White Eagle,White Eagle,0,1932,\N,65,Western
tt0023694,movie,White Zombie,White Zombie,0,1932,\N,69,Horror
tt0023696,short,The Whoopee Party,The Whoopee Party,0,1932,\N,7,"Animation,Comedy,Family"
tt0023699,short,Wild Babies!,Wild Babies!,0,1932,\N,17,"Comedy,Short"
tt0023700,movie,Wild Girl,Wild Girl,0,1932,\N,78,"Action,Crime,Drama"
tt0023701,movie,Winner Take All,Winner Take All,0,1932,\N,66,Drama
tt0023702,movie,The Wiser Sex,The Wiser Sex,0,1932,\N,76,"Comedy,Drama"
tt0023703,movie,Without Honor,Without Honor,0,1932,\N,66,Western
tt0023704,movie,A Woman Commands,A Woman Commands,0,1932,\N,83,Drama
tt0023706,movie,The Woman from Monte Carlo,The Woman from Monte Carlo,0,1932,\N,65,Drama
tt0023707,movie,The Woman in Room 13,The Woman in Room 13,0,1932,\N,67,Mystery
tt0023709,movie,The World and the Flesh,The World and the Flesh,0,1932,\N,74,Drama
tt0023711,short,Wrestling Swordfish,Wrestling Swordfish,0,1931,\N,8,"Adventure,Documentary,Short"
tt0023712,movie,The Wyoming Whirlwind,The Wyoming Whirlwind,0,1932,\N,55,"Action,Romance,Western"
tt0023715,short,Yoo-Hoo,Yoo-Hoo,0,1932,\N,20,"Comedy,Short"
tt0023716,movie,You Said a Mouthful,You Said a Mouthful,0,1932,\N,70,Comedy
tt0023717,short,You Try Somebody Else,You Try Somebody Else,0,1932,\N,10,"Animation,Comedy,Family"
tt0023718,short,You're Too Careless with Your Kisses!,You're Too Careless with Your Kisses!,0,1932,\N,7,"Animation,Comedy,Family"
tt0023719,movie,Young America,Young America,0,1932,\N,70,"Adventure,Drama,Romance"
tt0023720,movie,Young Bride,Young Bride,0,1932,\N,76,"Drama,Romance"
tt0023721,short,Young Ironsides,Young Ironsides,0,1932,\N,20,"Comedy,Music,Romance"
tt0023722,short,Your Hat,Your Hat,0,1932,\N,10,"Comedy,Short"
tt0023723,short,Yours Sincerely,Yours Sincerely,0,1933,\N,19,"Comedy,Musical,Short"
tt0023729,movie,Gesuzza the Garibaldian Wife,1860,0,1933,\N,80,"Drama,History"
tt0023730,short,"20, 000 Cheers for the Chain Gang","20,000 Cheers for the Chain Gang",0,1933,\N,20,"Comedy,Musical,Short"
tt0023731,movie,"20,000 Years in Sing Sing","20,000 Years in Sing Sing",0,1932,\N,78,"Crime,Drama,Film-Noir"
tt0023732,movie,Abe Hayat,Abe Hayat,0,1933,\N,\N,Drama
tt0023734,movie,Abenteuer am Lido,Abenteuer am Lido,0,1933,\N,91,Comedy
tt0023736,movie,Acciaio,Acciaio,0,1933,\N,67,Drama
tt0023737,movie,Ace of Aces,Ace of Aces,0,1933,\N,76,"Drama,War"
tt0023740,movie,Adorable,Adorable,0,1933,\N,88,"Comedy,Musical,Romance"
tt0023741,movie,Advice to the Forlorn,Advice to the Lovelorn,0,1933,\N,62,"Comedy,Drama,Romance"
tt0023742,movie,After Tonight,After Tonight,0,1933,\N,71,"Drama,Romance,War"
tt0023744,movie,"Aggie Appleby, Maker of Men","Aggie Appleby, Maker of Men",0,1933,\N,73,"Comedy,Romance"
tt0023745,movie,Water in the Ground,El agua en el suelo,0,1934,\N,96,Comedy
tt0023746,movie,Aibu,Aibu,0,1933,\N,93,"Drama,Romance"
tt0023747,short,Ain't She Sweet?,Ain't She Sweet?,0,1932,\N,8,"Animation,Comedy,Family"
tt0023748,short,Air Fright,Air Fright,0,1933,\N,19,"Comedy,Short"
tt0023749,movie,Air Hostess,Air Hostess,0,1933,\N,67,Drama
tt0023753,movie,Alice in Wonderland,Alice in Wonderland,0,1933,\N,76,"Adventure,Family,Fantasy"
tt0023754,movie,Alimony Madness,Alimony Madness,0,1933,\N,65,Drama
tt0023756,short,Aloha Oe,Aloha Oe,0,1933,\N,7,"Animation,Music,Short"
tt0023757,short,Along Came Ruth,Along Came Ruth,0,1933,\N,20,"Musical,Short"
tt0023758,movie,Ann Carver's Profession,Ann Carver's Profession,0,1933,\N,71,Drama
tt0023759,movie,Ann Vickers,Ann Vickers,0,1933,\N,76,"Drama,Romance"
tt0023760,movie,Anna and Elizabeth,Anna und Elisabeth,0,1933,\N,74,Drama
tt0023761,movie,Another Language,Another Language,0,1933,\N,77,Drama
tt0023762,short,Arabian Tights,Arabian Tights,0,1933,\N,20,"Comedy,Short"
tt0023764,movie,Arizona to Broadway,Arizona to Broadway,0,1933,\N,66,"Comedy,Crime,Romance"
tt0023765,short,Art in the Raw,Art in the Raw,0,1933,\N,19,"Comedy,Short"
tt0023766,short,Artist's Muddles,Artist's Muddles,0,1933,\N,20,"Comedy,Short"
tt0023768,movie,As the Devil Commands,As the Devil Commands,0,1932,\N,70,"Crime,Mystery,Romance"
tt0023769,movie,As the Earth Turns,As the Earth Turns,0,1934,\N,73,"Drama,Romance"
tt0023770,short,Asleep in the Feet,Asleep in the Feet,0,1933,\N,19,"Comedy,Short"
tt0023771,movie,Augustas lilla felsteg,Augustas lilla felsteg,0,1933,\N,78,Comedy
tt0023772,movie,Along Came Sally,Aunt Sally,0,1934,\N,84,"Comedy,Musical"
tt0023773,movie,The Avenger,The Avenger,0,1933,\N,79,Drama
tt0023775,movie,Baby Face,Baby Face,0,1933,\N,71,"Drama,Romance"
tt0023776,short,Backs to Nature,Backs to Nature,0,1933,\N,20,"Comedy,Short"
tt0023778,movie,The Barbarian,The Barbarian,0,1933,\N,83,"Adventure,Drama,Music"
tt0023779,short,The Barber Shop,The Barber Shop,0,1933,\N,21,"Comedy,Music,Short"
tt0023780,short,The Bargain of the Century,The Bargain of the Century,0,1933,\N,20,"Comedy,Music,Romance"
tt0023782,short,Be Like Me,Be Like Me,0,1931,\N,11,"Musical,Romance,Short"
tt0023783,short,Beau Bosko,Beau Bosko,0,1933,\N,7,"Animation,Comedy,Family"
tt0023784,short,Beauty and the Bus,Beauty and the Bus,0,1933,\N,18,"Comedy,Short"
tt0023785,movie,Beauty for Sale,Beauty for Sale,0,1933,\N,87,"Drama,Music,Romance"
tt0023786,movie,Bed of Roses,Bed of Roses,0,1933,\N,67,"Comedy,Drama,Romance"
tt0023787,movie,A Bedtime Story,A Bedtime Story,0,1933,\N,87,"Comedy,Musical,Romance"
tt0023788,short,Bedtime Worries,Bedtime Worries,0,1933,\N,20,"Comedy,Family,Short"
tt0023789,short,Beer and Pretzels,Beer and Pretzels,0,1933,\N,20,"Comedy,Musical,Short"
tt0023790,movie,Before Dawn,Before Dawn,0,1933,\N,60,"Crime,Drama,Mystery"
tt0023791,movie,Before Morning,Before Morning,0,1933,\N,56,"Crime,Mystery,Romance"
tt0023793,movie,Below the Sea,Below the Sea,0,1933,\N,78,"Action,Adventure,Romance"
tt0023794,movie,Berkeley Square,Berkeley Square,0,1933,\N,88,"Fantasy,Romance"
tt0023795,movie,The Bermondsey Kid,The Bermondsey Kid,0,1933,\N,75,Drama
tt0023797,short,Betty Boop's Big Boss,Betty Boop's Big Boss,0,1933,\N,7,"Animation,Comedy,Family"
tt0023798,short,Betty Boop's Birthday Party,Betty Boop's Birthday Party,0,1933,\N,7,"Animation,Comedy,Family"
tt0023799,short,Betty Boop's Crazy Inventions,Betty Boop's Crazy Inventions,0,1933,\N,7,"Animation,Comedy,Family"
tt0023800,short,Betty Boop's Hallowe'en Party,Betty Boop's Hallowe'en Party,0,1933,\N,7,"Animation,Family,Horror"
tt0023801,short,Betty Boop's Ker-Choo,Betty Boop's Ker-Choo,0,1933,\N,6,"Animation,Comedy,Family"
tt0023802,short,Betty Boop's May Party,Betty Boop's May Party,0,1933,\N,7,"Animation,Comedy,Family"
tt0023803,short,Betty Boop's Penthouse,Betty Boop's Penthouse,0,1933,\N,7,"Animation,Comedy,Family"
tt0023806,movie,The Big Brain,The Big Brain,0,1933,\N,72,Drama
tt0023807,movie,The Big Cage,The Big Cage,0,1933,\N,82,"Action,Adventure,Drama"
tt0023808,movie,The Big Chance,The Big Chance,0,1933,\N,62,"Action,Adventure,Comedy"
tt0023810,movie,The Big Race,The Big Race,0,1933,\N,68,"Drama,Romance,Sport"
tt0023811,movie,The Billion Dollar Scandal,The Billion Dollar Scandal,0,1933,\N,81,"Crime,Drama"
tt0023812,short,Birds in the Spring,Birds in the Spring,0,1933,\N,7,"Animation,Comedy,Family"
tt0023813,movie,Bitter Sweet,Bitter Sweet,0,1933,\N,93,"Drama,Musical,Romance"
tt0023814,movie,The Bitter Tea of General Yen,The Bitter Tea of General Yen,0,1932,\N,88,"Drama,Romance,War"
tt0023815,movie,Black Beauty,Black Beauty,0,1933,\N,70,"Drama,Romance"
tt0023816,movie,Blind Adventure,Blind Adventure,0,1933,\N,65,Mystery
tt0023817,movie,Blondie Johnson,Blondie Johnson,0,1933,\N,67,"Crime,Drama"
tt0023818,movie,Blood Money,Blood Money,0,1933,\N,65,"Drama,Film-Noir,Romance"
tt0023819,short,Blow Me Down!,Blow Me Down!,0,1933,\N,6,"Animation,Comedy,Family"
tt0023820,short,Blue of the Night,Blue of the Night,0,1933,\N,20,"Comedy,Musical,Short"
tt0023821,short,Boilesk,Boilesk,0,1933,\N,11,"Animation,Music,Short"
tt0023824,movie,Bomans pojke,Bomans pojke,0,1933,\N,90,Comedy
tt0023825,movie,Bombshell,Bombshell,0,1933,\N,96,"Comedy,Drama,Music"
tt0023827,short,"Boo, Boo, Theme Song!","Boo, Boo, Theme Song!",0,1933,\N,5,"Animation,Music,Short"
tt0023828,short,Borinage,Misère au Borinage,0,1934,\N,36,"Documentary,Short"
tt0023829,short,Bosko in Dutch,Bosko in Dutch,0,1933,\N,7,"Animation,Comedy,Family"
tt0023830,short,Bosko in Person,Bosko in Person,0,1933,\N,8,"Animation,Comedy,Family"
tt0023831,short,Bosko the Musketeer,Bosko the Musketeer,0,1933,\N,7,"Animation,Comedy,Family"
tt0023832,short,Bosko the Sheep-Herder,Bosko the Sheep-Herder,0,1933,\N,7,"Animation,Comedy,Family"
tt0023833,short,Bosko the Speed King,Bosko the Speed King,0,1933,\N,8,"Animation,Comedy,Family"
tt0023834,short,Bosko's Knight-Mare,Bosko's Knight-Mare,0,1933,\N,7,"Animation,Comedy,Family"
tt0023835,short,Bosko's Mechanical Man,Bosko's Mechanical Man,0,1933,\N,6,"Animation,Comedy,Family"
tt0023836,short,Bosko's Picture Show,Bosko's Picture Show,0,1933,\N,6,"Animation,Comedy,Family"
tt0023838,movie,The Bowery,The Bowery,0,1933,\N,92,"Comedy,Drama,Music"
tt0023839,movie,Breed of the Border,Breed of the Border,0,1933,\N,58,"Drama,Western"
tt0023840,movie,The Burning Secret,Brennendes Geheimnis,0,1933,\N,92,Drama
tt0023841,movie,Brewster's Millions,Brewster's Millions,0,1935,\N,80,"Comedy,Musical"
tt0023842,movie,Brief Moment,Brief Moment,0,1933,\N,69,"Drama,Music,Romance"
tt0023843,movie,Bring 'Em Back Alive,Bring 'Em Back Alive,0,1932,\N,65,"Adventure,Documentary"
tt0023844,short,Bring 'Em Back a Wife,Bring 'Em Back a Wife,0,1933,\N,20,"Comedy,Short"
tt0023845,movie,Britannia of Billingsgate,Britannia of Billingsgate,0,1933,\N,80,"Comedy,Drama,Musical"
tt0023846,movie,Broadway Bad,Broadway Bad,0,1933,\N,61,"Drama,Music"
tt0023847,movie,Broadway Thru a Keyhole,Broadway Thru a Keyhole,0,1933,\N,90,"Drama,Musical"
tt0023848,movie,Broadway to Hollywood,Broadway to Hollywood,0,1933,\N,85,"History,Musical"
tt0023849,movie,Broken Dreams,Broken Dreams,0,1933,\N,68,Drama
tt0023851,short,Buddy's Beer Garden,Buddy's Beer Garden,0,1933,\N,7,"Animation,Comedy,Family"
tt0023852,short,Buddy's Day Out,Buddy's Day Out,0,1933,\N,7,"Animation,Comedy,Family"
tt0023853,short,Buddy's Show Boat,Buddy's Show Boat,0,1933,\N,7,"Animation,Comedy,Family"
tt0023854,short,Building a Building,Building a Building,0,1933,\N,7,"Animation,Comedy,Family"
tt0023855,short,A Bundle of Blues,A Bundle of Blues,0,1933,\N,9,"Music,Short"
tt0023856,movie,Bureau of Missing Persons,Bureau of Missing Persons,0,1933,\N,73,"Comedy,Crime,Drama"
tt0023857,short,Buried Loot,Buried Loot,0,1935,\N,19,"Crime,Drama,Short"
tt0023858,short,Busy Bodies,Busy Bodies,0,1933,\N,19,"Comedy,Family,Short"
tt0023859,movie,By Appointment Only,By Appointment Only,0,1933,\N,67,Drama
tt0023860,movie,By Candlelight,By Candlelight,0,1933,\N,70,"Comedy,Music,Romance"
tt0023865,short,Caliente Love,Caliente Love,0,1933,\N,\N,"Comedy,Short"
tt0023866,movie,The California Trail,The California Trail,0,1933,\N,67,Western
tt0023870,movie,Camicia nera,Camicia nera,0,1933,\N,73,Drama
tt0023871,movie,A Song of Lisbon,A Canção de Lisboa,0,1933,\N,85,"Comedy,Musical"
tt0023872,movie,Captured!,Captured!,0,1933,\N,69,"Drama,Romance,War"
tt0023873,movie,For Love or Money,Cash,0,1933,\N,73,Comedy
tt0023874,movie,Il caso Haller,Il caso Haller,0,1933,\N,77,"Horror,Mystery,Thriller"
tt0023876,movie,Cavalcade,Cavalcade,0,1933,\N,112,"Drama,Romance,War"
tt0023878,movie,Central Airport,Central Airport,0,1933,\N,72,Drama
tt0023880,movie,Chance at Heaven,Chance at Heaven,0,1933,\N,71,"Drama,Romance"
tt0023881,movie,Charlie Chan's Greatest Case,Charlie Chan's Greatest Case,0,1933,\N,70,Mystery
tt0023882,movie,The Charming Deceiver,Heads We Go,0,1933,\N,86,"Comedy,Music,Mystery"
tt0023883,movie,Cheating Blondes,Cheating Blondes,0,1933,\N,66,"Crime,Drama,Mystery"
tt0023885,movie,The Cheyenne Kid,The Cheyenne Kid,0,1933,\N,54,Western
tt0023886,movie,The Chief,The Chief,0,1933,\N,65,Comedy
tt0023887,movie,Child of Manhattan,Child of Manhattan,0,1933,\N,70,"Drama,Romance"
tt0023888,movie,Der Choral von Leuthen,Der Choral von Leuthen,0,1933,\N,91,"Biography,Drama,History"
tt0023889,short,Christmas Night,Christmas Night,0,1933,\N,7,"Animation,Short"
tt0023890,movie,Christopher Bean,Christopher Bean,0,1933,\N,75,Comedy
tt0023891,movie,Christopher Strong,Christopher Strong,0,1933,\N,78,"Action,Adventure,Drama"
tt0023893,movie,The Circus Queen Murder,The Circus Queen Murder,0,1933,\N,63,"Action,Crime,Drama"
tt0023894,movie,Clancy of the Mounted,Clancy of the Mounted,0,1933,\N,225,"Adventure,Drama"
tt0023896,movie,Clear All Wires!,Clear All Wires!,0,1933,\N,78,"Comedy,Crime,Drama"
tt0023897,movie,Cocktail Hour,Cocktail Hour,0,1933,\N,73,"Crime,Drama,Romance"
tt0023898,movie,The Cohens and Kellys in Trouble,The Cohens and Kellys in Trouble,0,1933,\N,68,Comedy
tt0023899,movie,College Coach,College Coach,0,1933,\N,76,"Drama,Sport"
tt0023900,movie,College Humor,College Humor,0,1933,\N,80,"Action,Comedy,Music"
tt0023902,movie,Godfather Mendoza,El compadre Mendoza,0,1934,\N,85,"Drama,War"
tt0023904,movie,The Constant Woman,The Constant Woman,0,1933,\N,76,"Drama,Romance"
tt0023906,movie,Convention City,Convention City,0,1933,\N,69,"Comedy,Music,Romance"
tt0023908,movie,Cornered,Cornered,0,1932,\N,62,Western
tt0023909,movie,Corruption,Corruption,0,1933,\N,67,"Action,Adventure,Crime"
tt0023911,movie,Counsellor at Law,Counsellor at Law,0,1933,\N,82,"Comedy,Drama"
tt0023912,movie,The Cowboy Counsellor,The Cowboy Counsellor,0,1932,\N,62,Western
tt0023913,movie,Cradle Song,Cradle Song,0,1933,\N,76,Drama
tt0023914,movie,Crashin' Broadway,Crashin' Broadway,0,1933,\N,59,"Drama,Western"
tt0023918,movie,The Crime of the Century,The Crime of the Century,0,1933,\N,73,"Crime,Mystery"
tt0023919,movie,Crime on the Hill,Crime on the Hill,0,1933,\N,69,Crime
tt0023920,short,Crook's Tour,Crook's Tour,0,1933,\N,19,"Comedy,Short"
tt0023921,movie,Cross Fire,Cross Fire,0,1933,\N,55,Western
tt0023923,movie,A Cuckoo in the Nest,A Cuckoo in the Nest,0,1933,\N,85,Comedy
tt0023925,movie,"Dance, Girl, Dance","Dance, Girl, Dance",0,1933,\N,74,Musical
tt0023926,movie,Dancing Lady,Dancing Lady,0,1933,\N,92,"Comedy,Musical,Romance"
tt0023927,movie,Dangerous Crossroads,Dangerous Crossroads,0,1933,\N,62,"Action,Adventure,Crime"
tt0023928,movie,Dangerously Yours,Dangerously Yours,0,1933,\N,74,"Comedy,Drama"
tt0023929,movie,Song of the Streets,Dans les rues,0,1933,\N,81,"Crime,Drama,Romance"
tt0023930,movie,Daring Daughters,Daring Daughters,0,1933,\N,63,"Drama,Romance"
tt0023932,movie,Day of Reckoning,Day of Reckoning,0,1933,\N,69,Drama
tt0023933,movie,High and Low,Du haut en bas,0,1933,\N,79,Comedy
tt0023934,movie,Deadwood Pass,Deadwood Pass,0,1933,\N,62,Western
tt0023935,movie,The Death Kiss,The Death Kiss,0,1932,\N,75,"Comedy,Crime,Drama"
tt0023937,movie,Passing Fancy,Dekigokoro,0,1933,\N,100,Drama
tt0023938,movie,Deluge,Deluge,0,1933,\N,70,"Action,Adventure,Drama"
tt0023939,movie,Deserter,Dezertir,0,1933,\N,105,Drama
tt0023940,movie,Design for Living,Design for Living,0,1933,\N,91,"Comedy,Music,Mystery"
tt0023941,movie,Destination Unknown,Destination Unknown,0,1933,\N,66,Drama
tt0023942,movie,The Two Orphans,Les deux orphelines,0,1933,\N,102,Drama
tt0023943,movie,The Devil's Brother,The Devil's Brother,0,1933,\N,90,"Comedy,Musical"
tt0023944,movie,The Devil's Mate,The Devil's Mate,0,1933,\N,68,"Drama,Mystery"
tt0023945,movie,The Devil's in Love,The Devil's in Love,0,1933,\N,70,"Drama,Romance,Thriller"
tt0023946,movie,Dick Turpin,Dick Turpin,0,1934,\N,79,Drama
tt0023947,short,Dinah,Dinah,0,1933,\N,8,"Animation,Music,Short"
tt0023948,movie,Dinner at Eight,Dinner at Eight,0,1933,\N,111,Drama
tt0023949,movie,Diplomaniacs,Diplomaniacs,0,1933,\N,61,"Comedy,Musical"
tt0023950,short,Dirty Work,Dirty Work,0,1933,\N,19,"Comedy,Sci-Fi,Short"
tt0023951,movie,Disgraced,Disgraced,0,1933,\N,66,"Mystery,Romance"
tt0023952,short,The Dish Ran Away with the Spoon,The Dish Ran Away with the Spoon,0,1933,\N,7,"Animation,Comedy,Family"
tt0023954,movie,Djurgårdsnätter,Djurgårdsnätter,0,1933,\N,104,\N
tt0023955,movie,Doctor Bull,Doctor Bull,0,1933,\N,77,"Comedy,Drama,Romance"
tt0023956,movie,Don Quixote,Don Quixote,0,1933,\N,73,"Adventure,Comedy,Drama"
tt0023957,movie,Don't Bet on Love,Don't Bet on Love,0,1933,\N,62,"Comedy,Drama"
tt0023959,movie,Doss House,Doss House,0,1933,\N,53,Crime
tt0023960,movie,Double Harness,Double Harness,0,1933,\N,69,"Comedy,Drama"
tt0023962,short,Down by the Old Mill Stream,Down by the Old Mill Stream,0,1933,\N,8,"Animation,Music,Short"
tt0023963,movie,"Knock, ou le triomphe de la médecine","Knock, ou le triomphe de la médecine",0,1933,\N,95,Comedy
tt0023965,short,Dream Stuff,Dream Stuff,0,1933,\N,20,"Comedy,Short"
tt0023966,movie,Three Bluejackets and a Blonde,"Drei blaue Jungs, ein blondes Mädel",0,1933,\N,88,Comedy
tt0023967,movie,Drum Taps,Drum Taps,0,1933,\N,61,"Action,Romance,Western"
tt0023969,movie,Duck Soup,Duck Soup,0,1933,\N,69,"Comedy,Musical"
tt0023970,movie,The Dude Bandit,The Dude Bandit,0,1933,\N,62,Western
tt0023971,movie,Twenty-Six Commissars,Dvadtsat shest komissarov,0,1932,\N,109,Drama
tt0023973,movie,The Eagle and the Hawk,The Eagle and the Hawk,0,1933,\N,73,"Action,Drama,War"
tt0023974,movie,Early to Bed,Early to Bed,0,1933,\N,83,Musical
tt0023975,movie,East of Fifth Avenue,East of Fifth Avenue,0,1933,\N,74,Drama
tt0023978,movie,Egy éj Velencében,Egy éj Velencében,0,1934,\N,69,Comedy
tt0023979,movie,Eisenstein in Mexico,Eisenstein in Mexico,0,1933,\N,50,Documentary
tt0023980,movie,The Eleventh Commandment,The Eleventh Commandment,0,1933,\N,68,Drama
tt0023981,movie,Elisabeth und der Narr,Elisabeth und der Narr,0,1934,\N,76,Drama
tt0023982,movie,"Elmer, the Great","Elmer, the Great",0,1933,\N,72,"Comedy,Family,Romance"
tt0023983,movie,El último varon sobre la Tierra,El último varon sobre la Tierra,0,1933,\N,70,"Comedy,Fantasy,Music"
tt0023984,movie,Emergency Call,Emergency Call,0,1933,\N,65,"Action,Crime,Drama"
tt0023985,movie,The Emperor Jones,The Emperor Jones,0,1933,\N,72,"Drama,Music"
tt0023986,movie,Employees' Entrance,Employees' Entrance,0,1933,\N,75,"Drama,Romance"
tt0023989,movie,Es gibt nur eine Liebe,Es gibt nur eine Liebe,0,1933,\N,\N,Comedy
tt0023990,movie,Eskimo,Eskimo,0,1933,\N,117,Drama
tt0023991,movie,The Eternal Jew,The Eternal Jew,0,1933,\N,63,Drama
tt0023992,movie,Ever in My Heart,Ever in My Heart,0,1933,\N,68,"Drama,Romance,War"
tt0023993,movie,Ex-Lady,Ex-Lady,0,1933,\N,67,"Comedy,Drama"
tt0023996,movie,F. P. 1 Doesn't Answer,F.P.1,0,1933,\N,93,"Adventure,Sci-Fi"
tt0023997,short,El faba de Ramonet,El faba de Ramonet,0,1933,\N,39,"Comedy,Short"
tt0023998,movie,Face in the Sky,Face in the Sky,0,1933,\N,77,"Comedy,Music,Romance"
tt0023999,movie,Facing the Music,Facing the Music,0,1933,\N,72,"Musical,Romance"
tt0024000,short,Fallen Arches,Fallen Arches,0,1933,\N,19,"Comedy,Short"
tt0024001,movie,Falling for You,Falling for You,0,1933,\N,88,"Comedy,Musical"
tt0024002,movie,Fanny,Fanny,0,1933,\N,96,Comedy
tt0024005,movie,Fast Workers,Fast Workers,0,1933,\N,66,Drama
tt0024006,short,Father Noah's Ark,Father Noah's Ark,0,1933,\N,8,"Animation,Comedy,Family"
tt0024008,movie,Female,Female,0,1933,\N,60,"Comedy,Drama,Music"
tt0024010,movie,The Fighting Parson,The Fighting Parson,0,1933,\N,66,Western
tt0024011,movie,Fighting Texans,Fighting Texans,0,1933,\N,58,"Drama,Western"
tt0024012,movie,Fighting with Kit Carson,Fighting with Kit Carson,0,1933,\N,250,"Drama,Western"
tt0024013,movie,Fighting for Justice,Fighting for Justice,0,1932,\N,60,"Drama,Western"
tt0024014,movie,Fires of Fate,Fires of Fate,0,1932,\N,74,Adventure
tt0024015,movie,The First Offence,The First Offence,0,1936,\N,66,Drama
tt0024016,short,Fish Hooky,Fish Hooky,0,1933,\N,20,"Comedy,Family,Short"
tt0024017,movie,The Flag Lieutenant,The Flag Lieutenant,0,1932,\N,85,"Drama,War"
